rule_id,name,category,confidence_tier,default_verdict,source_refs,implemented_status,app_module,fixtures
GOV_WARNING_EXACT_TEXT,Government warning exact text,strict_compliance,tier_1_official,fail,SRC_27_USC_215;SRC_27_CFR_PART_16,planned,app/rules/strict_warning.py,warning_good.png;warning_missing_machinery_comma.png;warning_title_case_heading.png
GOV_WARNING_HEADER_CAPS,Government warning heading capitalization,strict_compliance,tier_1_official,fail,SRC_27_CFR_PART_16,planned,app/rules/strict_warning.py,warning_title_case_heading.png
GOV_WARNING_HEADER_BOLD,Government warning heading boldness,cv_typography,tier_1_official,needs_review,SRC_27_CFR_PART_16,planned,app/rules/strict_warning.py,warning_not_bold.png;warning_low_contrast.png
ALCOHOL_ABV_PROHIBITED,Prohibited ABV abbreviation detected,strict_compliance,tier_1_official,fail,SRC_27_CFR_PART_5;SRC_27_CFR_PART_7,planned,app/rules/alcohol_terms.py,beer_5_percent_abv.png;spirits_45_percent_abv.png
MALT_NET_CONTENTS_16OZ_PINT,Malt beverage 16 fl. oz. should be 1 Pint,strict_compliance,tier_1_official,fail,SRC_27_CFR_PART_7,planned,app/rules/net_contents.py,beer_16_fl_oz_only.png;beer_1_pint_good.png
FORM_BRAND_MATCHES_LABEL,Application brand name matches label artwork,fuzzy_match,stakeholder_requirement,needs_review,SRC_TTB_FORM_5100_31;SRC_STAKEHOLDER_DISCOVERY,planned,app/rules/field_matching.py,brand_match_good.png;brand_case_difference.png;brand_mismatch.png
IMAGE_FORMAT_ALLOWED_TYPES,Allowed label image file types,upload_preflight,tier_1_official_or_guidance,fail,SRC_REPORT_14_HARDENING,planned,app/services/security/upload_policy.py,bad_pdf_upload.pdf;bad_double_extension.png.php
HEALTH_CLAIM_EXPLICIT,Potential explicit health claim,risk_review,tier_2_case_or_precedent,needs_review,SRC_27_USC_205,planned,app/rules/health_claims.py,bellion_style_health_claim.png
WINE_SEMI_GENERIC_NAME_DETECTED,Semi-generic wine name detected,risk_review,tier_1_official,needs_review,SRC_TTB_IC_2006_01,planned,app/rules/wine/semi_generic_names.py,wine_california_champagne_new_use.png;wine_angelica_exception.png
ABSINTHE_TERM_DETECTED,Absinthe / thujone support context,risk_review,tier_1_official,needs_review,SRC_TTB_IC_2007_05,planned,app/rules/spirits/absinthe_thujone.py,spirits_absinthe_standalone.png;spirits_absinthe_green_fairy_claim.png
SYNTHETIC_NEGATIVE_REQUIRED,Synthetic negative fixture strategy,data_strategy,tier_3_research_synthesis,info,SRC_REPORT_09_SYNTHETIC_FIXTURES;SRC_TTB_PUBLIC_COLA_REGISTRY,planned,scripts/generate_synthetic_fixtures.py,
